gender,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,gender_encoded,parental_education_encoded,grade_encoded
male,some college,1,1,89.0,38.0,85.0,26.0,238.0,C,2,2.0,2.0
male,high school,1,0,65.0,100.0,67.0,96.0,328.0,A,2,1.0,4.0
male,master's degree,1,0,10.0,99.0,97.0,58.0,264.0,B,2,5.0,3.0
male,some college,1,1,22.0,51.0,41.0,84.0,198.0,D,2,2.0,1.0
male,some college,0,1,26.0,58.0,64.0,65.0,213.0,C,2,2.0,2.0
male,high school,1,0,40.0,49.0,69.0,48.0,206.0,C,2,1.0,2.0
Unknown,some college,0,0,34.0,48.0,84.0,73.0,239.0,C,0,2.0,2.0
male,associate's degree,1,1,25.0,80.0,34.0,17.0,156.0,D,2,3.0,1.0
male,Unknown,1,1,28.0,79.0,100.0,76.0,283.0,B,2,0.0,3.0
male,high school,1,0,71.0,22.0,85.0,39.0,217.0,C,2,1.0,2.0
male,high school,1,0,55.0,64.0,87.0,60.0,266.0,B,2,1.0,3.0
male,associate's degree,1,0,58.0,53.0,54.0,55.0,220.0,C,2,3.0,2.0
male,associate's degree,1,0,29.0,71.0,76.0,91.0,267.0,B,2,3.0,3.0
male,high school,0,1,18.0,70.0,72.5,45.0,205.5,C,2,1.0,2.0
male,associate's degree,1,1,72.0,97.0,52.0,67.0,288.0,B,2,3.0,3.0
male,master's degree,0,0,23.0,96.0,34.0,54.0,207.0,C,2,5.0,2.0
male,high school,0,0,35.0,70.0,87.0,91.0,283.0,B,2,1.0,3.0
male,some college,0,1,38.0,82.0,82.0,73.0,275.0,B,2,2.0,3.0
male,bachelor's degree,1,1,41.0,76.0,78.0,67.0,262.0,B,2,4.0,3.0
male,high school,1,1,22.0,73.0,72.5,75.0,242.5,C,2,1.0,2.0
male,master's degree,1,1,44.0,71.0,50.0,47.0,212.0,C,2,5.0,2.0
male,high school,1,1,58.0,68.0,62.0,54.0,242.0,C,2,1.0,2.0
male,bachelor's degree,1,1,39.0,71.0,49.0,78.0,237.0,C,2,4.0,2.0
male,associate's degree,1,1,85.0,97.0,43.0,57.0,282.0,B,2,3.0,3.0
male,Unknown,1,0,30.0,63.0,63.0,9.0,165.0,D,2,0.0,1.0
male,some college,1,1,100.0,38.0,74.0,95.0,307.0,B,2,2.0,3.0
Unknown,high school,1,0,61.0,64.0,81.0,44.0,250.0,B,0,1.0,3.0
male,high school,0,0,47.0,49.0,98.0,46.0,240.0,C,2,1.0,2.0
male,associate's degree,0,0,37.0,57.0,57.0,82.0,233.0,C,2,3.0,2.0
male,high school,0,1,49.0,54.0,61.0,78.0,242.0,C,2,1.0,2.0
male,high school,1,1,72.0,89.0,64.0,81.0,306.0,B,2,1.0,3.0
male,associate's degree,0,0,18.0,69.0,82.0,9.0,178.0,D,2,3.0,1.0
male,associate's degree,0,0,11.0,67.0,60.0,31.0,169.0,D,2,3.0,1.0
male,some college,1,1,41.0,77.0,97.0,65.0,280.0,B,2,2.0,3.0
male,associate's degree,1,0,32.0,71.0,74.0,70.0,247.0,C,2,3.0,2.0
male,some college,1,0,85.0,76.0,74.0,57.0,292.0,B,2,2.0,3.0
male,high school,1,0,78.0,82.0,52.0,71.0,283.0,B,2,1.0,3.0
Unknown,associate's degree,1,1,36.0,70.0,57.0,93.0,256.0,B,0,3.0,3.0
male,high school,0,0,68.0,66.0,86.0,99.0,319.0,B,2,1.0,3.0
male,Unknown,1,0,97.0,89.0,64.0,66.0,316.0,B,2,0.0,3.0
male,high school,1,0,38.0,97.0,55.0,62.0,252.0,B,2,1.0,3.0
male,high school,1,0,38.0,92.0,95.0,50.0,275.0,B,2,1.0,3.0
male,high school,1,0,58.0,38.0,54.0,65.0,215.0,C,2,1.0,2.0
male,bachelor's degree,0,0,78.0,71.0,81.0,71.0,301.0,B,2,4.0,3.0
male,some college,1,0,64.0,81.0,72.5,96.0,313.5,B,2,2.0,3.0
male,some college,1,0,60.0,43.0,33.0,67.0,203.0,C,2,2.0,2.0
male,some college,0,0,60.0,56.0,78.0,67.0,261.0,B,2,2.0,3.0
male,high school,0,0,38.0,90.0,53.0,60.0,241.0,C,2,1.0,2.0
male,high school,0,0,69.0,98.0,98.0,46.0,311.0,B,2,1.0,3.0
male,high school,0,0,87.0,63.0,48.0,55.0,253.0,B,2,1.0,3.0
male,high school,1,0,83.0,56.0,72.5,67.0,278.5,B,2,1.0,3.0
male,associate's degree,0,1,42.0,64.0,57.0,94.0,257.0,B,2,3.0,3.0
male,bachelor's degree,1,1,72.0,71.0,69.0,28.0,240.0,C,2,4.0,2.0
male,some college,1,0,58.0,100.0,59.0,9.0,226.0,C,2,2.0,2.0
male,some college,0,0,52.0,98.0,73.0,75.0,298.0,B,2,2.0,3.0
male,associate's degree,1,1,65.0,66.0,60.0,57.0,248.0,C,2,3.0,2.0
male,Unknown,1,1,27.0,55.0,100.0,38.0,220.0,C,2,0.0,2.0
male,bachelor's degree,0,0,46.0,91.0,30.0,69.0,236.0,C,2,4.0,2.0
Unknown,associate's degree,1,1,12.0,83.0,74.0,63.0,232.0,C,0,3.0,2.0
